tipo,Nombre_de_la_Serie,valor,categoria
Baja_California,2013/10,176,estado
Baja_California,2013/11,237,estado
Baja_California,2013/12,407,estado
Baja_California,2014/01,152,estado
Baja_California,2014/02,197,estado
Baja_California,2014/03,292,estado
Baja_California,2014/04,375,estado
Baja_California,2014/05,424,estado
Baja_California,2014/06,528,estado
Baja_California,2014/07,460,estado
Baja_California,2014/08,446,estado
Baja_California,2014/09,622,estado
Baja_California,2014/10,670,estado
Baja_California,2014/11,653,estado
Baja_California,2014/12,741,estado
Baja_California,2015/01,213,estado
Baja_California,2015/02,713,estado
Baja_California,2015/03,841,estado
Baja_California,2015/04,737,estado
Baja_California,2015/05,609,estado
Baja_California,2015/06,456,estado
Baja_California,2015/07,132,estado
Baja_California,2015/08,170,estado
Baja_California,2015/09,328,estado
Baja_California,2015/10,545,estado
Baja_California,2015/11,355,estado
Baja_California,2015/12,168,estado
Baja_California,2016/01,192,estado
Baja_California,2016/02,523,estado
Baja_California,2016/03,410,estado
Baja_California,2016/04,351,estado
Baja_California,2016/05,351,estado
Baja_California,2016/06,309,estado
Baja_California,2016/07,407,estado
Baja_California,2016/08,446,estado
Baja_California,2016/09,298,estado
Baja_California,2016/10,339,estado
Baja_California,2016/11,259,estado
Baja_California,2016/12,45,estado
Baja_California,2017/01,0,estado
Baja_California,2017/02,123,estado
Baja_California,2017/03,123,estado
Baja_California,2017/04,191,estado
Baja_California,2017/05,173,estado
Baja_California,2017/06,266,estado
Baja_California,2017/07,97,estado
Baja_California,2017/08,182,estado
Baja_California,2017/09,96,estado
Baja_California,2017/10,74,estado
Baja_California,2017/11,163,estado
Baja_California,2017/12,131,estado
Baja_California,2018/01,50,estado
Baja_California,2018/02,115,estado
Baja_California,2018/03,88,estado
Baja_California,2018/04,111,estado
Baja_California,2018/05,139,estado
Baja_California,2018/06,162,estado
Baja_California,2018/07,168,estado
Baja_California,2018/08,106,estado
Baja_California,2018/09,117,estado
Baja_California,2018/10,174,estado
Baja_California,2018/11,47,estado
Baja_California,2018/12,0,estado
Baja_California,2019/01,0,estado
Baja_California,2019/02,0,estado
Baja_California,2019/03,0,estado
Baja_California,2019/04,0,estado
Baja_California,2019/05,84,estado
Baja_California,2019/06,26,estado
Baja_California,2019/07,25,estado
Baja_California,2019/08,0,estado
Baja_California,2019/09,0,estado
Baja_California,2019/10,0,estado
Baja_California,2019/11,0,estado
Baja_California,2019/12,0,estado
Baja_California,2020/01,0,estado
Baja_California,2020/02,0,estado
Baja_California,2020/03,0,estado
Baja_California,2020/04,0,estado
Baja_California,2020/05,0,estado
Baja_California,2020/06,0,estado
Baja_California,2020/07,0,estado
Baja_California,2020/08,0,estado
Baja_California,2020/09,0,estado
Baja_California_Sur,2012/01,0,estado
Baja_California_Sur,2012/02,25,estado
Baja_California_Sur,2012/03,44,estado
Baja_California_Sur,2012/04,30,estado
Baja_California_Sur,2012/05,78,estado
Baja_California_Sur,2012/06,35,estado
Baja_California_Sur,2012/07,9,estado
Baja_California_Sur,2012/08,25,estado
Baja_California_Sur,2012/09,11,estado
Baja_California_Sur,2012/10,14,estado
Baja_California_Sur,2012/11,0,estado
Baja_California_Sur,2012/12,0,estado
Baja_California_Sur,2013/01,15,estado
Baja_California_Sur,2013/02,0,estado
Baja_California_Sur,2013/03,31,estado
Baja_California_Sur,2013/04,17,estado
Baja_California_Sur,2013/05,24,estado
Baja_California_Sur,2013/06,6,estado
Baja_California_Sur,2013/07,9,estado
Baja_California_Sur,2013/08,10,estado
Baja_California_Sur,2013/09,22,estado
Baja_California_Sur,2013/10,14,estado
Baja_California_Sur,2013/11,9,estado
Baja_California_Sur,2013/12,49,estado
Baja_California_Sur,2014/01,24,estado
Baja_California_Sur,2014/02,33,estado
Baja_California_Sur,2014/03,38,estado
Baja_California_Sur,2014/04,34,estado
Baja_California_Sur,2014/05,40,estado
Baja_California_Sur,2014/06,51,estado
Baja_California_Sur,2014/07,33,estado
Baja_California_Sur,2014/08,63,estado
Baja_California_Sur,2014/09,54,estado
Baja_California_Sur,2014/10,82,estado
Baja_California_Sur,2014/11,84,estado
Baja_California_Sur,2014/12,89,estado
Baja_California_Sur,2015/01,16,estado
Baja_California_Sur,2015/02,131,estado
Baja_California_Sur,2015/03,132,estado
Baja_California_Sur,2015/04,88,estado
Baja_California_Sur,2015/05,70,estado
Baja_California_Sur,2015/06,119,estado
Baja_California_Sur,2015/07,25,estado
Baja_California_Sur,2015/08,27,estado
Baja_California_Sur,2015/09,39,estado
Baja_California_Sur,2015/10,81,estado
Baja_California_Sur,2015/11,56,estado
Baja_California_Sur,2015/12,43,estado
Baja_California_Sur,2016/01,9,estado
Baja_California_Sur,2016/02,57,estado
Baja_California_Sur,2016/03,71,estado
Baja_California_Sur,2016/04,85,estado
Baja_California_Sur,2016/05,78,estado
Baja_California_Sur,2016/06,99,estado
Baja_California_Sur,2016/07,64,estado
