tipo,Nombre_de_la_Serie,valor,categoria
Baja_California,2013/05,2933,estado
Baja_California,2013/06,2755,estado
Baja_California,2013/07,3302,estado
Baja_California,2013/08,3169,estado
Baja_California,2013/09,2953,estado
Baja_California,2013/10,3107,estado
Baja_California,2013/11,2924,estado
Baja_California,2013/12,2908,estado
Baja_California,2014/01,2120,estado
Baja_California,2014/02,1928,estado
Baja_California,2014/03,2322,estado
Baja_California,2014/04,2304,estado
Baja_California,2014/05,2551,estado
Baja_California,2014/06,2904,estado
Baja_California,2014/07,2197,estado
Baja_California,2014/08,1869,estado
Baja_California,2014/09,2431,estado
Baja_California,2014/10,2799,estado
Baja_California,2014/11,3085,estado
Baja_California,2014/12,3360,estado
Baja_California,2015/01,2346,estado
Baja_California,2015/02,3255,estado
Baja_California,2015/03,3338,estado
Baja_California,2015/04,3420,estado
Baja_California,2015/05,3092,estado
Baja_California,2015/06,3353,estado
Baja_California,2015/07,3536,estado
Baja_California,2015/08,3589,estado
Baja_California,2015/09,3591,estado
Baja_California,2015/10,3978,estado
Baja_California,2015/11,3350,estado
Baja_California,2015/12,3423,estado
Baja_California,2016/01,2491,estado
Baja_California,2016/02,3520,estado
Baja_California,2016/03,1587,estado
Baja_California,2016/04,1469,estado
Baja_California,2016/05,1437,estado
Baja_California,2016/06,1431,estado
Baja_California,2016/07,1417,estado
Baja_California,2016/08,1914,estado
Baja_California,2016/09,2112,estado
Baja_California,2016/10,2256,estado
Baja_California,2016/11,1992,estado
Baja_California,2016/12,2339,estado
Baja_California,2017/01,1189,estado
Baja_California,2017/02,1596,estado
Baja_California,2017/03,2154,estado
Baja_California,2017/04,1812,estado
Baja_California,2017/05,2357,estado
Baja_California,2017/06,2717,estado
Baja_California,2017/07,2329,estado
Baja_California,2017/08,2862,estado
Baja_California,2017/09,2661,estado
Baja_California,2017/10,2682,estado
Baja_California,2017/11,2688,estado
Baja_California,2017/12,2851,estado
Baja_California,2018/01,1416,estado
Baja_California,2018/02,2063,estado
Baja_California,2018/03,2145,estado
Baja_California,2018/04,2315,estado
Baja_California,2018/05,2702,estado
Baja_California,2018/06,2319,estado
Baja_California,2018/07,2702,estado
Baja_California,2018/08,2692,estado
Baja_California,2018/09,2536,estado
Baja_California,2018/10,2575,estado
Baja_California,2018/11,2280,estado
Baja_California,2018/12,2069,estado
Baja_California,2019/01,1648,estado
Baja_California,2019/02,2051,estado
Baja_California,2019/03,2335,estado
Baja_California,2019/04,2198,estado
Baja_California,2019/05,2653,estado
Baja_California,2019/06,2438,estado
Baja_California,2019/07,2573,estado
Baja_California,2019/08,2457,estado
Baja_California,2019/09,2312,estado
Baja_California,2019/10,2518,estado
Baja_California,2019/11,1997,estado
Baja_California,2019/12,2084,estado
Baja_California,2020/01,1446,estado
Baja_California,2020/02,1940,estado
Baja_California,2020/03,2003,estado
Baja_California,2020/04,1330,estado
Baja_California,2020/05,1292,estado
Baja_California,2020/06,1693,estado
Baja_California,2020/07,1980,estado
Baja_California,2020/08,2210,estado
Baja_California,2020/09,1832,estado
Baja_California_Sur,2012/01,340,estado
Baja_California_Sur,2012/02,360,estado
Baja_California_Sur,2012/03,500,estado
Baja_California_Sur,2012/04,402,estado
Baja_California_Sur,2012/05,588,estado
Baja_California_Sur,2012/06,562,estado
Baja_California_Sur,2012/07,479,estado
Baja_California_Sur,2012/08,551,estado
Baja_California_Sur,2012/09,465,estado
Baja_California_Sur,2012/10,574,estado
Baja_California_Sur,2012/11,667,estado
Baja_California_Sur,2012/12,604,estado
Baja_California_Sur,2013/01,515,estado
Baja_California_Sur,2013/02,584,estado
Baja_California_Sur,2013/03,640,estado
Baja_California_Sur,2013/04,893,estado
Baja_California_Sur,2013/05,972,estado
Baja_California_Sur,2013/06,893,estado
Baja_California_Sur,2013/07,1074,estado
Baja_California_Sur,2013/08,754,estado
Baja_California_Sur,2013/09,770,estado
Baja_California_Sur,2013/10,735,estado
Baja_California_Sur,2013/11,503,estado
Baja_California_Sur,2013/12,509,estado
Baja_California_Sur,2014/01,429,estado
Baja_California_Sur,2014/02,437,estado
Baja_California_Sur,2014/03,465,estado
Baja_California_Sur,2014/04,460,estado
Baja_California_Sur,2014/05,508,estado
Baja_California_Sur,2014/06,572,estado
Baja_California_Sur,2014/07,345,estado
Baja_California_Sur,2014/08,381,estado
Baja_California_Sur,2014/09,279,estado
Baja_California_Sur,2014/10,608,estado
Baja_California_Sur,2014/11,858,estado
Baja_California_Sur,2014/12,861,estado
Baja_California_Sur,2015/01,531,estado
Baja_California_Sur,2015/02,723,estado
Baja_California_Sur,2015/03,897,estado
Baja_California_Sur,2015/04,786,estado
Baja_California_Sur,2015/05,844,estado
Baja_California_Sur,2015/06,932,estado
Baja_California_Sur,2015/07,873,estado
Baja_California_Sur,2015/08,1054,estado
Baja_California_Sur,2015/09,962,estado
Baja_California_Sur,2015/10,936,estado
Baja_California_Sur,2015/11,904,estado
Baja_California_Sur,2015/12,810,estado
Baja_California_Sur,2016/01,592,estado
Baja_California_Sur,2016/02,758,estado
Baja_California_Sur,2016/03,331,estado
Baja_California_Sur,2016/04,253,estado
Baja_California_Sur,2016/05,269,estado
Baja_California_Sur,2016/06,329,estado
Baja_California_Sur,2016/07,230,estado
Baja_California_Sur,2016/08,417,estado
Baja_California_Sur,2016/09,465,estado
Baja_California_Sur,2016/10,508,estado
Baja_California_Sur,2016/11,424,estado
Baja_California_Sur,2016/12,420,estado
Baja_California_Sur,2017/01,229,estado
Baja_California_Sur,2017/02,308,estado
Baja_California_Sur,2017/03,420,estado
Baja_California_Sur,2017/04,363,estado
Baja_California_Sur,2017/05,496,estado
Baja_California_Sur,2017/06,602,estado
Baja_California_Sur,2017/07,529,estado
Baja_California_Sur,2017/08,599,estado
Baja_California_Sur,2017/09,526,estado
Baja_California_Sur,2017/10,519,estado
Baja_California_Sur,2017/11,630,estado
Baja_California_Sur,2017/12,700,estado
Baja_California_Sur,2018/01,262,estado
Baja_California_Sur,2018/02,446,estado
Baja_California_Sur,2018/03,451,estado
Baja_California_Sur,2018/04,454,estado
Baja_California_Sur,2018/05,701,estado
Baja_California_Sur,2018/06,573,estado
Baja_California_Sur,2018/07,577,estado
Baja_California_Sur,2018/08,653,estado
Baja_California_Sur,2018/09,565,estado
Baja_California_Sur,2018/10,717,estado
Baja_California_Sur,2018/11,645,estado
Baja_California_Sur,2018/12,566,estado
Baja_California_Sur,2019/01,379,estado
Baja_California_Sur,2019/02,481,estado
Baja_California_Sur,2019/03,698,estado
Baja_California_Sur,2019/04,548,estado
Baja_California_Sur,2019/05,694,estado
Baja_California_Sur,2019/06,647,estado
Baja_California_Sur,2019/07,731,estado
Baja_California_Sur,2019/08,649,estado
Baja_California_Sur,2019/09,428,estado
Baja_California_Sur,2019/10,546,estado
Baja_California_Sur,2019/11,500,estado
Baja_California_Sur,2019/12,461,estado
Baja_California_Sur,2020/01,333,estado
Baja_California_Sur,2020/02,512,estado
Baja_California_Sur,2020/03,522,estado
Baja_California_Sur,2020/04,356,estado
Baja_California_Sur,2020/05,355,estado
Baja_California_Sur,2020/06,553,estado
Baja_California_Sur,2020/07,648,estado
Baja_California_Sur,2020/08,649,estado
