tipo,Nombre_de_la_Serie,valor,categoria
Apoyo_Infonavit,2013/09,296688870,Tipo_Credito
Apoyo_Infonavit,2013/10,301866037,Tipo_Credito
Apoyo_Infonavit,2013/11,338662079,Tipo_Credito
Apoyo_Infonavit,2013/12,110286190,Tipo_Credito
Apoyo_Infonavit,2014/01,540362489,Tipo_Credito
Apoyo_Infonavit,2014/02,196005769,Tipo_Credito
Apoyo_Infonavit,2014/03,378899488,Tipo_Credito
Apoyo_Infonavit,2014/04,230598453,Tipo_Credito
Apoyo_Infonavit,2014/05,294079723,Tipo_Credito
Apoyo_Infonavit,2014/06,145803386,Tipo_Credito
Apoyo_Infonavit,2014/07,359209314,Tipo_Credito
Apoyo_Infonavit,2014/08,159050379,Tipo_Credito
Apoyo_Infonavit,2014/09,168683801,Tipo_Credito
Apoyo_Infonavit,2014/10,427544813,Tipo_Credito
Apoyo_Infonavit,2014/11,378342152,Tipo_Credito
Apoyo_Infonavit,2014/12,152351735,Tipo_Credito
Apoyo_Infonavit,2015/01,166398789,Tipo_Credito
Apoyo_Infonavit,2015/02,219127749,Tipo_Credito
Apoyo_Infonavit,2015/03,239830141,Tipo_Credito
Apoyo_Infonavit,2015/04,423407653,Tipo_Credito
Apoyo_Infonavit,2015/05,201351460,Tipo_Credito
Apoyo_Infonavit,2015/06,550287363,Tipo_Credito
Apoyo_Infonavit,2015/07,344925853,Tipo_Credito
Apoyo_Infonavit,2015/08,465761017,Tipo_Credito
Apoyo_Infonavit,2015/09,421854503,Tipo_Credito
Apoyo_Infonavit,2015/10,574543554,Tipo_Credito
Apoyo_Infonavit,2015/11,405753347,Tipo_Credito
Apoyo_Infonavit,2015/12,598407347,Tipo_Credito
Apoyo_Infonavit,2016/01,383415212,Tipo_Credito
Apoyo_Infonavit,2016/02,441346287,Tipo_Credito
Apoyo_Infonavit,2016/03,436695800,Tipo_Credito
Apoyo_Infonavit,2016/04,414278376,Tipo_Credito
Apoyo_Infonavit,2016/05,296489589,Tipo_Credito
Apoyo_Infonavit,2016/06,1010334190,Tipo_Credito
Apoyo_Infonavit,2016/07,534885648,Tipo_Credito
Apoyo_Infonavit,2016/08,617320616,Tipo_Credito
Apoyo_Infonavit,2016/09,422986000,Tipo_Credito
Apoyo_Infonavit,2016/10,539400743,Tipo_Credito
Apoyo_Infonavit,2016/11,274855013,Tipo_Credito
Apoyo_Infonavit,2016/12,15201613,Tipo_Credito
Apoyo_Infonavit,2017/01,576436026,Tipo_Credito
Apoyo_Infonavit,2017/02,459248932,Tipo_Credito
Apoyo_Infonavit,2017/03,810971598,Tipo_Credito
Apoyo_Infonavit,2017/04,252001121,Tipo_Credito
Apoyo_Infonavit,2017/05,718568560,Tipo_Credito
Apoyo_Infonavit,2017/06,690190604,Tipo_Credito
